,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
OG136,23.0,9.0,2.0,5.0,3.0,8.0,6.0,8.0,3.0,1.0,3.0,4.0,14.0,0.0,6.0,2.0,4.0,3.0
OG137,16.0,20.0,9.0,11.0,12.0,11.0,1.0,1.0,2.0,25.0,8.0,37.0,31.0,59.0,45.0,16.0,9.0,18.0
OG138,2.0,4.0,3.0,0.0,3.0,1.0,5.0,3.0,4.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,1.0
OG139,3.0,6.0,5.0,3.0,5.0,2.0,8.0,13.0,8.0,0.0,0.0,0.0,7.0,8.0,9.0,6.0,7.0,5.0
OG140,20.0,16.0,10.0,21.0,37.0,21.0,28.0,18.0,32.0,11.0,5.0,8.0,24.0,14.0,23.0,22.0,10.0,25.0
OG141,406.0,667.0,495.0,523.0,599.0,400.0,338.0,272.0,314.0,922.0,339.0,1183.0,390.0,900.0,586.0,486.0,428.0,657.0
OG142,297.0,241.0,189.0,324.0,360.0,259.0,370.0,291.0,353.0,369.0,88.0,417.0,97.0,186.0,166.0,192.0,289.0,304.0
OG143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG144,7.0,7.0,1.0,1.0,8.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,5.0,6.0
OG145,74.0,76.0,72.0,69.0,95.0,61.0,4.0,1.0,3.0,169.0,62.0,151.0,181.0,447.0,344.0,103.0,128.0,160.0
OG146,2.0,2.0,2.0,3.0,4.0,3.0,4.0,6.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,5.0
OG147,166.0,244.0,124.0,171.0,230.0,152.0,234.0,188.0,243.0,236.0,115.0,263.0,576.0,431.0,383.0,0.0,0.0,0.0
OG148,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OG149,8.0,5.0,4.0,13.0,10.0,2.0,3.0,1.0,2.0,14.0,3.0,7.0,7.0,9.0,14.0,0.0,0.0,0.0
OG150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OG151,4.0,2.0,2.0,8.0,7.0,5.0,6.0,4.0,4.0,3.0,2.0,6.0,3.0,5.0,0.0,1.0,1.0,3.0
OG152,2.0,1.0,2.0,3.0,4.0,1.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
OG153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG154,7.0,4.0,6.0,4.0,18.0,13.0,8.0,10.0,4.0,9.0,6.0,9.0,11.0,14.0,10.0,7.0,2.0,12.0
OG155,102.0,106.0,64.0,146.0,159.0,110.0,152.0,103.0,180.0,86.0,26.0,118.0,61.0,125.0,139.0,76.0,86.0,126.0
OG156,16.0,9.0,4.0,4.0,7.0,4.0,2.0,1.0,0.0,10.0,6.0,15.0,22.0,25.0,20.0,6.0,15.0,9.0
OG157,7.0,6.0,5.0,12.0,6.0,3.0,7.0,9.0,3.0,3.0,1.0,7.0,4.0,6.0,12.0,1.0,1.0,0.0
OG158,85.0,80.0,78.0,167.0,178.0,115.0,127.0,100.0,123.0,103.0,37.0,124.0,62.0,104.0,132.0,95.0,90.0,135.0
OG159,96.0,112.0,107.0,85.0,54.0,83.0,15.0,5.0,9.0,189.0,95.0,193.0,135.0,283.0,359.0,135.0,119.0,179.0
OG160,876.0,1298.0,945.0,1103.0,1205.0,812.0,889.0,640.0,798.0,1491.0,594.0,1863.0,907.0,1825.0,1473.0,933.0,780.0,1202.0
OG161,27.0,12.0,3.0,14.0,12.0,8.0,14.0,9.0,5.0,7.0,1.0,9.0,13.0,9.0,1.0,14.0,1.0,4.0
OG162,53.0,49.0,40.0,155.0,106.0,98.0,104.0,107.0,140.0,48.0,22.0,41.0,50.0,42.0,64.0,81.0,93.0,115.0
OG163,4.0,3.0,0.0,2.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
OG164,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG165,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0
OG166,1447.0,1942.0,1134.0,1656.0,2210.0,1383.0,2323.0,1680.0,1851.0,1520.0,682.0,1860.0,1095.0,1900.0,1593.0,1298.0,1456.0,2096.0
OG167,274.0,327.0,220.0,568.0,504.0,428.0,322.0,240.0,300.0,392.0,122.0,417.0,223.0,442.0,381.0,271.0,322.0,407.0
OG168,11.0,13.0,7.0,13.0,22.0,16.0,37.0,14.0,20.0,10.0,2.0,7.0,6.0,3.0,2.0,14.0,5.0,9.0
OG169,11.0,12.0,4.0,16.0,16.0,9.0,5.0,9.0,8.0,11.0,9.0,7.0,16.0,8.0,16.0,7.0,4.0,4.0
OG170,1.0,4.0,1.0,3.0,3.0,3.0,8.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0
OG171,127.0,195.0,113.0,109.0,158.0,79.0,195.0,152.0,194.0,19.0,9.0,20.0,267.0,287.0,181.0,111.0,87.0,150.0
OG172,166.0,229.0,206.0,104.0,148.0,117.0,97.0,83.0,102.0,328.0,128.0,288.0,196.0,517.0,397.0,264.0,133.0,266.0
OG173,56.0,40.0,27.0,82.0,89.0,73.0,59.0,36.0,43.0,56.0,9.0,71.0,104.0,106.0,104.0,53.0,71.0,104.0
OG174,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0
OG175,55.0,69.0,36.0,44.0,49.0,48.0,97.0,62.0,87.0,37.0,22.0,73.0,96.0,119.0,111.0,24.0,12.0,22.0
