Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01018	109	122	12	8	36	15	41	8	11	349	63	58	5	4	34	19	14	26	29	16	21	13	14	19	36	50	43	56	24	71	30.15	20	22	15	43	50	3.043	1.606	4.073	4.64761236421469e-05	0.000731160460597075	0.0503	0.0573	0.0542	0.0542	TRUE	0.0763
NLANBGKA_01585	6404	9373	490	361	2447	804	3393	647	694	10840	1484	1907	113	317	720	1108	1096	1077	1326	1087	1146	1094	1116	1170	1126	1169	1415	1260	1929	1511	1241.97	1094	1186	1127	1237	1567	1.445	0.531	4.045	5.22593952758804e-05	0.000813753440724424	0.0097	0.0109	0.0102	0.0102	TRUE	0.082
NLANBGKA_00959	58	91	3	4	46	14	44	17	8	273	25	37	3	5	17	10	11	7	15	20	20	14	29	13	28	20	27	33	30	36	20.96	9	18	19	25	33	3.41	1.77	3.944	8.02767868549147e-05	0.00118934346350097	0	0.0781	0.0562	0.0562	TRUE	0.284
NLANBGKA_01462	1770	2443	140	100	964	313	999	168	167	4387	558	568	30	70	230	306	286	308	367	428	446	322	290	281	456	440	421	335	426	483	372.97	300	414	298	439	415	1.465	0.551	3.868	0.000109897692668264	0.0015385676973557	0.0031	0.0136	0.0079	0.0079	TRUE	0.0929
NLANBGKA_00503	741	1182	91	52	364	137	523	141	105	2282	343	382	19	47	124	128	138	200	191	162	195	169	243	177	237	270	283	212	286	260	210.13	155	183	196	263	253	1.739	0.798	3.852	0.000117378833704868	0.00161369459669935	0.0218	0.0166	0.0188	0.0188	TRUE	0.1676
NLANBGKA_01908	70	101	10	2	24	13	31	7	12	133	31	47	6	6	22	12	12	22	7	11	19	10	12	20	14	24	35	67	37	46	23.16	15	12	14	24	50	3.486	1.801	3.819	0.000133922292158144	0.00177709058985503	0.1066	0.0716	0.0884	0.0884	TRUE	0.0963
NLANBGKA_00796	150	167	14	20	55	25	79	15	40	181	31	49	9	17	24	26	20	31	73	24	36	25	26	67	19	24	36	100	103	50	44.15	26	44	39	26	84	3.227	1.69	3.812	0.000138115666874268	0.00178319304443768	0.1572	0.0422	0.0951	0.0951	TRUE	0.47
NLANBGKA_01764	1385	2222	138	84	617	200	850	185	187	2729	440	450	30	83	175	240	260	303	308	274	285	274	319	315	284	347	334	335	505	367	316.64	268	289	303	322	402	1.535	0.619	3.813	0.000137085365681974	0.00178319304443768	0.0089	0.0143	0.0113	0.0113	TRUE	0.1485
NLANBGKA_00027	1195	1480	85	55	499	191	700	102	121	1613	220	385	37	56	137	207	173	187	202	222	272	226	176	204	168	173	286	413	341	288	235.7	189	232	202	209	347	1.767	0.821	3.786	0.000153163889703795	0.00193470053974623	0.0297	0.0158	0.0239	0.0239	TRUE	0.1928
NLANBGKA_01301	54	84	7	6	38	13	44	6	8	282	33	59	4	4	16	9	10	15	22	17	19	14	10	13	29	26	44	45	24	34	22.11	11	19	12	33	34	3.212	1.684	3.785	0.000153406792470049	0.00193470053974623	0	0.0746	0.0529	0.0529	TRUE	0.0424
