Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_01081	739	1314	80	43	364	113	516	114	100	2564	382	544	28	77	178	128	154	176	158	162	161	166	197	169	266	301	404	312	468	374	239.66	153	160	177	324	385	2.003	1.002	5.591	2.25513960975426e-08	9.28244561950463e-07	0.0193	0.0157	0.0177	0.0177	TRUE	0.0692
NLANBGKA_00267	1374	2274	115	86	721	199	959	249	158	4966	679	783	37	58	215	238	266	253	316	320	284	309	429	266	516	535	581	413	353	451	368.65	252	307	335	544	406	1.771	0.825	5.535	3.10833050114561e-08	1.23944678733181e-06	0.0136	0.0136	0.013	0.013	TRUE	0.2336
NLANBGKA_00608	1653	2665	139	84	778	237	1026	214	198	4750	684	965	33	78	224	286	312	305	308	346	338	331	369	334	494	539	716	368	475	470	399.32	301	331	345	583	438	1.738	0.797	5.517	3.44724327226329e-08	1.33293406527514e-06	0.0115	0.0133	0.0123	0.0123	TRUE	0.1882
NLANBGKA_00834	842	1505	68	40	362	135	508	75	95	2753	366	596	16	39	114	146	176	149	147	161	192	164	129	160	286	288	442	178	237	239	206.41	157	167	151	339	218	2.004	1.003	5.307	1.11284529034723e-07	4.05711597280876e-06	0.0237	0.0167	0.0204	0.0204	TRUE	0.3245
NLANBGKA_00719	1338	2017	99	47	525	159	728	127	140	3395	399	571	26	48	148	231	236	218	173	233	227	235	219	236	353	314	424	290	292	311	266.03	228	211	230	364	298	1.664	0.735	5.126	2.96636454298005e-07	9.70533629959627e-06	0.0072	0.0151	0.0108	0.0108	TRUE	0.0899
NLANBGKA_00102	5484	8376	492	240	2145	779	2974	675	561	14585	1755	3402	115	244	663	949	980	1081	881	953	1110	959	1164	946	1515	1383	2524	1283	1485	1392	1240.23	1003	981	1023	1807	1387	1.835	0.876	4.981	6.3119785544039e-07	2.01352115885484e-05	0.0303	0.0109	0.0212	0.0212	TRUE	0.581
NLANBGKA_00993	663	739	42	28	244	82	360	75	53	1998	267	252	12	48	115	115	86	92	103	108	117	116	129	89	208	210	187	134	292	241	148.56	98	109	111	202	222	1.834	0.875	4.785	1.70796720920211e-06	5.06829339288811e-05	0.0129	0.0194	0.0165	0.0165	TRUE	0.0414
NLANBGKA_00262	39	73	4	2	19	2	23	3	4	317	37	59	0	1	0	7	9	9	7	8	3	7	5	7	33	29	44	0	6	0	11.6	8	6	6	35	2	5.28	2.4	4.772	1.82301249326248e-06	5.2867362304612e-05	0.0172	0.1333	0.0869	0.0869	TRUE	0.2339
NLANBGKA_01830	2032	3535	223	78	729	169	1052	163	221	5279	770	563	22	23	133	351	413	490	286	324	241	339	281	373	548	607	418	245	140	279	355.75	418	284	331	524	221	1.838	0.878	4.69	2.72587725390131e-06	7.72937639106239e-05	0.031	0.0138	0.0219	0.0219	TRUE	0.2488
NLANBGKA_00261	757	1033	74	65	297	120	380	71	101	4164	515	1002	20	81	117	131	121	163	239	132	171	122	122	170	433	406	743	223	493	246	260.97	138	181	138	527	321	2.979	1.575	4.631	3.64472604093301e-06	9.89504346432025e-05	0.0779	0.0152	0.0437	0.0779	TRUE	0.6972
NLANBGKA_01584	70915	99204	5429	2959	26142	8012	34991	5962	6329	136317	17756	21268	850	1811	5327	12266	11603	11932	10866	11612	11420	11279	10281	10668	14163	13991	15780	9482	11018	11181	11836.08	11934	11299	10743	14645	10560	1.295	0.373	4.478	7.51756924909364e-06	0.000184469583881606	0.0032	0.0099	0.0049	0.0049	TRUE	0.035
NLANBGKA_00226	1508	1976	116	56	645	195	777	132	151	3598	488	665	32	68	160	261	231	255	206	287	278	250	228	255	374	385	493	357	414	336	307.19	249	257	244	417	369	1.569	0.65	4.367	1.25900353978546e-05	0.000286872949422545	0.0108	0.0144	0.0124	0.0124	TRUE	0.1168
NLANBGKA_01640	108	181	11	3	49	12	77	30	13	536	74	58	2	5	9	19	21	24	11	22	17	25	52	22	56	58	43	22	30	19	29.4	21	17	33	52	24	2.828	1.5	4.211	2.54529882087209e-05	0.000541300215905465	0.0433	0.0585	0.0524	0.0524	TRUE	0.4523
NLANBGKA_01082	1027	1562	104	72	492	164	661	135	112	3181	522	691	52	88	146	178	183	229	264	219	234	213	233	189	330	411	513	580	535	306	307.78	197	239	212	418	474	1.767	0.821	4.13	3.62505269147078e-05	0.000758289710543724	0.0341	0.0144	0.0244	0.0244	TRUE	0.1824
