Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00263	11	16	0	0	5	4	11	1	1	116	8	22	0	1	3	2	2	0	0	2	6	4	2	2	12	6	16	0	6	6	4.38	1	3	3	11	4	6.83	2.772	3.828	0.000129329513004761	0.000986659026633092	0.1234	0.3368	0.2539	0.2539	TRUE	0.0496
NLANBGKA_01740	182	266	16	8	84	22	104	22	19	503	68	99	5	13	22	31	31	35	29	37	31	34	38	32	52	54	73	56	79	46	43.98	32	32	35	60	60	1.852	0.889	3.828	0.000129279166020164	0.000986659026633092	0	0.0423	0.0278	0.0278	TRUE	0.1844
NLANBGKA_00973	162	237	6	13	85	10	93	12	19	494	78	78	3	9	15	28	28	13	48	38	14	30	21	32	51	61	58	33	55	31	36.12	23	33	28	57	40	2.229	1.156	3.826	0.000130315405864975	0.000988863962151868	0.0556	0.0494	0.0515	0.0515	TRUE	0.258
NLANBGKA_00581	619	1116	71	49	403	91	530	117	86	2117	295	229	16	26	56	107	131	156	180	179	130	171	202	145	220	232	170	178	158	118	165.09	131	163	173	207	151	1.634	0.708	3.811	0.000138220957483953	0.00104327414186026	0.0228	0.0184	0.0212	0.0212	TRUE	0.2101
NLANBGKA_00850	576	698	38	33	215	80	334	53	45	1365	178	188	7	20	63	100	82	84	121	96	114	108	91	76	142	140	139	78	122	132	108.26	89	110	92	140	111	1.576	0.657	3.801	0.000144067623697782	0.00108165057157223	0.0107	0.023	0.0168	0.0168	TRUE	0.1378
NLANBGKA_00961	218	301	24	10	98	38	114	18	17	600	82	130	6	16	35	38	35	53	37	44	54	37	31	29	62	65	96	67	97	73	54.51	42	45	32	74	79	1.877	0.909	3.791	0.000149915291234861	0.00111963051716983	0.0273	0.036	0.0317	0.0317	TRUE	0.2495
NLANBGKA_01271	767	1463	73	65	655	206	569	113	105	3303	326	239	10	9	49	133	171	160	239	291	294	183	195	177	343	257	177	112	55	103	192.62	155	275	185	259	90	1.697	0.763	3.775	0.000160044679769089	0.00118283021141842	0.0352	0.0172	0.0263	0.0263	TRUE	0.048
NLANBGKA_00285	1281	1715	85	63	519	176	747	121	111	2562	380	474	16	60	145	222	201	187	231	231	251	241	209	187	266	299	352	178	365	304	248.23	203	238	212	306	282	1.479	0.565	3.758	0.000171588269359263	0.00126157385606629	0.0124	0.0155	0.0139	0.0139	TRUE	0.0652
NLANBGKA_00051	56	81	10	10	45	19	42	10	15	228	47	38	6	7	19	10	9	22	37	20	27	14	17	25	24	37	28	67	43	40	27.95	14	28	19	30	50	2.586	1.371	3.754	0.000173812612689182	0.00126918507514283	0.0772	0.061	0.0688	0.0688	TRUE	0.1678
NLANBGKA_00946	2630	3558	219	129	1035	310	1451	272	215	5390	776	873	50	118	294	455	416	481	474	460	442	468	469	362	560	611	648	558	718	617	515.92	451	459	433	606	631	1.353	0.436	3.753	0.000174412325336753	0.00126918507514283	0.0056	0.0125	0.0086	0.0086	TRUE	0.0806
NLANBGKA_01336	59	60	2	1	28	7	23	7	8	281	24	38	0	0	3	10	7	4	4	12	10	7	12	13	29	19	28	0	0	6	10.88	7	9	11	25	2	3.226	1.69	3.724	0.000196004346704724	0.00139763903504524	0.0709	0.1414	0.1109	0.1109	TRUE	0.4297
NLANBGKA_01338	128	157	3	7	53	13	51	16	13	390	59	51	1	8	15	22	18	7	26	24	19	16	28	22	41	46	38	11	49	31	26.47	16	23	22	42	30	2.289	1.195	3.724	0.000195833449665398	0.00139763903504524	0.0443	0.0639	0.0554	0.0554	TRUE	0.0244
NLANBGKA_01587	574	868	55	33	242	77	311	44	65	1261	219	293	12	31	70	99	102	121	121	107	110	100	76	110	131	173	217	134	189	147	129.08	107	113	95	174	157	1.636	0.71	3.717	0.000201226504335504	0.0014277020482604	0.023	0.0208	0.022	0.022	TRUE	0.0505
NLANBGKA_01516	466	820	46	32	341	99	306	63	49	1268	182	213	8	21	89	81	96	101	118	151	141	99	109	83	132	143	158	89	128	187	120.97	93	137	97	144	135	1.581	0.66	3.716	0.000202679836622953	0.00143085914511428	0.0137	0.0216	0.0181	0.0181	TRUE	0.1179
NLANBGKA_01574	14	34	0	0	3	1	6	1	8	194	23	23	0	0	0	2	4	0	0	1	1	2	2	13	20	18	17	0	0	0	5.44	2	1	6	18	0	6.689	2.742	3.669	0.000243584561477013	0.00170269208244276	0.3888	0.273	0.3099	0.3099	TRUE	1.165
NLANBGKA_00515	99	123	7	5	46	22	49	6	12	210	39	115	5	8	24	17	14	15	18	20	31	16	10	20	22	31	85	56	49	50	30.41	15	23	15	46	52	2.869	1.521	3.648	0.000264500870064272	0.0018131726310203	0.1471	0.0569	0.1025	0.1025	TRUE	0.702
NLANBGKA_00162	507	634	50	51	205	113	384	53	85	1228	179	305	26	56	161	88	74	110	187	91	161	124	91	143	128	141	226	290	341	338	168.88	91	146	119	165	323	1.865	0.899	3.634	0.000279140832781319	0.00189521933835737	0.0598	0.0182	0.0389	0.0389	TRUE	0.582
NLANBGKA_01376	46	72	6	0	25	15	30	4	5	228	33	32	0	4	10	8	8	13	0	11	21	10	7	8	24	26	24	0	24	21	13.72	10	11	8	25	15	2.756	1.463	3.608	0.000308924400194999	0.00207755319372845	0.0202	0.1142	0.0847	0.0847	TRUE	0.057
NLANBGKA_00161	1307	2006	126	124	622	210	863	200	222	3062	550	589	50	131	227	226	235	277	455	276	299	278	345	374	318	433	437	558	797	476	385.7	246	343	332	396	610	1.623	0.699	3.597	0.000321909980165236	0.00214455521997404	0.0364	0.0135	0.025	0.025	TRUE	0.1533
NLANBGKA_01783	392	537	33	17	246	71	204	44	34	1033	141	124	12	24	61	68	63	73	62	109	101	66	76	57	107	111	92	134	146	128	92.89	68	91	66	103	136	1.563	0.644	3.597	0.000321589568291257	0.00214455521997404	0.0079	0.0252	0.0171	0.0171	TRUE	0.1125
