ID	sample_6A
NLANBGKA_01011	31
NLANBGKA_01012	41
NLANBGKA_01013	0
NLANBGKA_01014	0
NLANBGKA_01015	0
NLANBGKA_01016	1
NLANBGKA_01017	35
NLANBGKA_01018	5
NLANBGKA_01019	2
NLANBGKA_01020	1
NLANBGKA_01021	9
NLANBGKA_01022	9
NLANBGKA_01023	1
NLANBGKA_01024	0
NLANBGKA_01025	3
NLANBGKA_01026	6
NLANBGKA_01027	4
NLANBGKA_01028	4
NLANBGKA_01029	86
NLANBGKA_01030	562
NLANBGKA_01031	129
NLANBGKA_01032	140
NLANBGKA_01033	2
NLANBGKA_01034	8
NLANBGKA_01035	0
NLANBGKA_01036	0
NLANBGKA_01037	15
NLANBGKA_01038	5
NLANBGKA_01039	9
NLANBGKA_01040	0
NLANBGKA_01041	0
NLANBGKA_01042	0
NLANBGKA_01043	0
NLANBGKA_01044	0
NLANBGKA_01045	0
NLANBGKA_01046	0
NLANBGKA_01047	0
NLANBGKA_01048	0
NLANBGKA_01049	0
NLANBGKA_01050	3
NLANBGKA_01051	0
NLANBGKA_01052	0
NLANBGKA_01053	0
NLANBGKA_01054	17
NLANBGKA_01055	3
NLANBGKA_01056	0
NLANBGKA_01057	1
NLANBGKA_01058	2
NLANBGKA_01059	6
NLANBGKA_01060	4
NLANBGKA_01061	0
NLANBGKA_01062	0
NLANBGKA_01063	44
NLANBGKA_01064	16
NLANBGKA_01065	35
NLANBGKA_01066	236
NLANBGKA_01067	188
NLANBGKA_01068	1
NLANBGKA_01069	5
NLANBGKA_01070	1
NLANBGKA_01071	30
NLANBGKA_01072	113
NLANBGKA_01073	3
NLANBGKA_01074	36
NLANBGKA_01075	183
NLANBGKA_01076	162
NLANBGKA_01077	8
NLANBGKA_01078	73
NLANBGKA_01079	6
NLANBGKA_01080	35
NLANBGKA_01081	28
NLANBGKA_01082	52
NLANBGKA_01083	40
NLANBGKA_01084	3
NLANBGKA_01085	16
NLANBGKA_01086	2
NLANBGKA_01087	2
