Knumber,log2FoldChange.minusSTvsAll
K15986,0.044000000000000004
K04069,-0.639
K03699,0.406
K00208,0.092
K02372,0.261
K03701,-0.425
K02528,0.28
K02994,0.6559999999999999
K02933,0.83
K02881,0.8220000000000001
K03076,0.20600000000000002
K00939,0.14
K02986,0.701
K02948,0.64
K03040,0.5479999999999999
K02879,0.331
K06959,0.024
K12574,0.19
K03789,-0.315
K02356,0.315
K01409,-0.049
K07137,0.086
K21064,1.024
K01652,-0.18899999999999997
K02041,1.508
K06901,1.929
K01256,-0.075
K18891,0.293
K18892,0.22399999999999998
K00790,0.535
K03702,-0.313
K03977,0.077
K19002,0.07200000000000001
K11144,-0.077
K13677,-0.188
K07738,0.22
K03439,0.255
K02314,0.025
K02939,-0.223
K22927,0.011000000000000001
K03305,0.317
K00857,0.46399999999999997
K00425,-0.047
K03885,0.371
K01752,0.425
K01752,0.23
K00426,-0.10800000000000001
K20074,0.5489999999999999
K01077,0.5529999999999999
K07069,-1.024
K00566,0.611
K02945,0.35600000000000004
K02835,0.19899999999999998
K00600,0.732
K01265,0.361
K07058,0.055
K06023,0.265
K13292,0.379
K00033,-0.25
K03549,0.37
K06286,-0.128
K02357,0.5660000000000001
K02967,0.748
K11991,-0.61
K04072,0.408
K01462,0.131
K02956,1.034
K00134,-0.7390000000000001
K03048,0.051
K04042,0.48100000000000004
K03624,0.048
K03697,-0.68
K00995,0.021
K01784,-0.282
K01243,0.33299999999999996
K01689,0.249
K03696,0.132
K03708,-0.196
K06881,0.15
K00783,0.223
K01424,0.257
K01142,0.34
K00806,0.573
K00981,0.516
K00537,-0.342
K01881,0.336
K00849,-0.662
K07533,0.449
K03763,0.184
K08303,0.055999999999999994
K01760,-0.17300000000000001
K01962,-0.008
K16509,1.081
K01358,-0.318
K01963,0.028999999999999998
K01961,-0.083
K02372,0.009000000000000001
K09458,0.127
K06180,-0.174
K00059,-0.019
K11068,0.247
K02078,-0.152
K01809,0.005
K03530,0.257
K02834,0.345
K07742,0.195
K03101,-0.315
K02600,0.415
K09748,0.603
K06518,0.247
K01990,0.242
K02863,0.682
K02867,0.909
K01872,0.215
K01372,-0.152
K02483,-0.21899999999999997
K00820,0.11900000000000001
K16509,0.413
K00243,0.011000000000000001
K03664,0.009000000000000001
K00790,0.147
K00762,1.368
K03545,0.419
K02838,0.47200000000000003
K09903,0.155
K00925,0.46799999999999997
K06207,0.249
K01939,1.012
K02040,-0.358
K02445,-0.47100000000000003
K00826,0.424
K02040,-0.016
K02037,0.019
K09976,0.727
K02038,0.094
K03402,0.036000000000000004
K06024,0.26
K23675,0.305
K10112,-0.084
K04567,0.336
K07029,-0.10099999999999999
K01892,-0.131
K02761,-0.32799999999999996
K01876,-0.215
K05540,1.072
K09812,0.8029999999999999
K02935,0.396
K02836,0.109
K02760,-0.01
K23393,1.006
K03438,0.332
K00560,0.34600000000000003
K18692,0.48700000000000004
K01000,0.16899999999999998
