OG	sample_2B
OG1176	181.0
OG1177	1687.0
OG1178	6296.0
OG1179	1243.0
OG1180	1968.0
OG1181	1805.0
OG1182	1394.0
OG1183	11633.0
OG1184	10803.0
OG1185	3821.0
OG1186	517.0
OG1187	316.0
OG1188	453.0
OG1189	1767.0
OG1190	367.0
OG1191	1599.0
OG1192	37.0
OG1193	6014.0
OG1194	5682.0
OG1195	134.0
OG1196	829.0
OG1197	47.0
OG1198	3382.0
OG1199	2216.0
OG1200	238.0
OG1201	750.0
OG1202	3602.0
OG1203	261.0
OG1204	2364.0
OG1205	1538.0
OG1206	24022.0
OG1207	30.0
OG1208	1025.0
OG1209	311.0
OG1210	1949.0
OG1211	2296.0
OG1212	523.0
OG1213	23.0
OG1214	1175.0
OG1215	4106.0
OG1216	4080.0
OG1217	847.0
OG1218	108.0
OG1219	1780.0
OG1220	26.0
OG1221	2607.0
OG1222	3200.0
OG1223	816.0
OG1224	5947.0
OG1225	997.0
OG1226	3523.0
OG1227	2243.0
OG1228	359.0
OG1229	1164.0
OG1230	527.0
OG1231	19152.0
OG1232	812.0
OG1233	2291.0
OG1234	293.0
OG1235	5811.0
OG1236	943.0
OG1237	4662.0
OG1238	5337.0
OG1239	10.0
OG1240	8289.0
OG1241	75195.0
OG1242	140.0
OG1243	787.0
OG1244	221.0
OG1245	7772.0
OG1246	39051.0
OG1247	4259.0
OG1248	1397.0
OG1249	264.0
OG1250	906.0
OG1251	328.0
OG1252	6575.0
OG1253	5868.0
OG1254	590.0
OG1255	7872.0
OG1256	13611.0
OG1257	371.0
OG1258	3989.0
OG1259	333.0
OG1260	10471.0
OG1261	13858.0
OG1262	2381.0
OG1263	10538.0
OG1264	3636.0
OG1265	5411.0
OG1266	3172.0
OG1267	6004.0
OG1268	1892.0
OG1269	911.0
OG1270	4086.0
OG1271	4753.0
OG1272	3495.0
OG1273	1139.0
OG1274	25324.0
OG1275	1393.0
OG1276	402.0
OG1277	2572.0
OG1278	317.0
OG1279	1319.0
OG1280	523.0
OG1281	169.0
OG1282	9812.0
OG1283	21.0
OG1284	1639.0
OG1285	313.0
OG1286	1268.0
OG1287	1731.0
OG1288	321.0
OG1289	5580.0
OG1290	13066.0
OG1291	1180.0
OG1292	421.0
OG1293	2197.0
OG1294	9.0
OG1295	375.0
OG1296	2975.0
OG1297	1211.0
OG1298	103.0
OG1299	1874.0
OG1300	1606.0
OG1301	89.0
OG1302	60.0
OG1303	3317.0
OG1304	1137.0
OG1305	1613.0
OG1306	2450.0
OG1307	1311.0
OG1308	703.0
OG1309	212.0
OG1310	1673.0
OG1311	1792.0
OG1312	866.0
OG1313	35196.0
OG1314	177.0
OG1315	1075.0
OG1316	469.0
OG1317	382.0
OG1318	17753.0
OG1319	539.0
OG1320	8071.0
OG1321	1498.0
OG1322	3018.0
OG1323	690.0
OG1324	682.0
OG1325	101.0
OG1326	360.0
OG1327	4704.0
OG1328	43.0
OG1329	1437.0
OG1330	920.0
OG1331	3528.0
OG1332	1260.0
OG1333	31327.0
OG1334	3135.0
OG1335	2730.0
OG1336	8491.0
OG1337	15582.0
OG1338	994.0
OG1339	2862.0
OG1340	232.0
OG1341	13469.0
OG1342	12931.0
OG1343	16097.0
OG1344	26446.0
OG1345	4311.0
OG1346	343.0
OG1347	1597.0
OG1348	12566.0
OG1349	23322.0
OG1350	3505.0
OG1351	185.0
OG1352	3232.0
OG1353	539.0
OG1354	1383.0
OG1355	219.0
OG1356	8137.0
OG1357	66479.0
OG1358	2489.0
OG1359	3349.0
OG1360	8986.0
OG1361	255.0
OG1362	11689.0
OG1363	2257.0
OG1364	5712.0
OG1365	2649.0
OG1366	804.0
OG1367	247.0
OG1368	56.0
OG1369	1550.0
OG1370	19866.0
OG1371	22520.0
OG1372	11550.0
OG1373	13595.0
OG1374	54983.0
OG1375	53.0
OG1376	266.0
OG1377	23684.0
OG1378	12816.0
OG1379	5536.0
OG1380	2358.0
OG1381	0.0
OG1382	9.0
OG1383	1068.0
OG1384	1310.0
OG1385	9222.0
OG1386	35625.0
OG1387	4071.0
OG1388	2168.0
OG1389	1835.0
OG1390	8735.0
OG1391	219.0
OG1392	545.0
OG1393	3997.0
OG1394	9227.0
OG1395	7404.0
OG1396	1601.0
OG1397	1982.0
OG1398	3229.0
OG1399	3031.0
OG1400	1788.0
OG1401	6504.0
OG1402	616.0
OG1403	6024.0
OG1404	9478.0
OG1405	22441.0
OG1406	7711.0
OG1407	17317.0
OG1408	14096.0
OG1409	18470.0
OG1410	1714.0
OG1411	6012.0
OG1412	2910.0
OG1413	640.0
OG1414	6555.0
OG1415	643.0
OG1416	5112.0
OG1417	6775.0
OG1418	2444.0
OG1419	238.0
OG1420	11989.0
OG1421	4029.0
OG1422	258.0
OG1423	6342.0
OG1424	7090.0
OG1425	16750.0
OG1426	7959.0
OG1427	3047.0
OG1428	5154.0
