OG	sample_3A
OG1531	2290.0
OG1532	7164.0
OG1533	2180.0
OG1534	2350.0
OG1535	221.0
OG1536	5375.0
OG1537	4159.0
OG1538	2031.0
OG1539	4014.0
OG1540	9967.0
OG1541	1461.0
OG1542	1063.0
OG1543	852.0
OG1544	736.0
OG1545	2958.0
OG1546	2409.0
OG1547	261.0
OG1548	541.0
OG1549	440.0
OG1550	10461.0
OG1551	4936.0
OG1552	7991.0
OG1553	2.0
OG1554	3078.0
OG1555	17191.0
OG1556	378.0
OG1557	21526.0
OG1558	546.0
OG1559	433.0
OG1560	516.0
OG1561	1933.0
OG1562	3314.0
OG1563	33802.0
OG1564	1223.0
OG1565	2185.0
OG1566	753.0
OG1567	2264.0
OG1568	10125.0
OG1569	6614.0
OG1570	52.0
OG1571	35.0
OG1572	2281.0
OG1573	1995.0
OG1574	2445.0
OG1575	241.0
OG1576	1333.0
OG1577	921.0
OG1578	332.0
OG1579	540.0
OG1580	298.0
OG1581	7547.0
OG1582	4947.0
OG1583	9939.0
OG1584	186.0
OG1585	5946.0
OG1586	4940.0
OG1587	534.0
OG1588	1072.0
OG1589	54.0
OG1590	936.0
OG1591	3655.0
OG1592	5494.0
OG1593	2822.0
OG1594	364.0
OG1595	1231.0
