OG	sample_6B
OG986	53.0
OG987	0.0
OG988	2.0
OG989	941.0
OG990	0.0
OG991	4.0
OG992	154.0
OG993	10.0
OG994	93.0
OG995	342.0
OG996	28.0
OG997	109.0
OG998	741.0
OG999	2.0
OG1000	394.0
OG1001	8244.0
OG1002	236.0
OG1003	31.0
OG1004	1897.0
OG1005	2063.0
OG1006	2252.0
OG1007	878.0
OG1008	256.0
OG1009	1120.0
OG1010	513.0
OG1011	1994.0
OG1012	154.0
OG1013	18343.0
OG1014	88.0
OG1015	592.0
OG1016	881.0
OG1017	2027.0
OG1018	2396.0
OG1019	121.0
OG1020	2056.0
OG1021	2521.0
OG1022	270.0
OG1023	1439.0
OG1024	7026.0
OG1025	12.0
OG1026	2557.0
OG1027	196.0
OG1028	88.0
OG1029	1.0
OG1030	9.0
OG1031	1.0
OG1032	21.0
OG1033	12.0
OG1034	59.0
OG1035	2558.0
OG1036	12.0
OG1037	0.0
OG1038	38.0
OG1039	207.0
OG1040	570.0
OG1041	13090.0
OG1042	335.0
OG1043	1.0
OG1044	0.0
OG1045	0.0
OG1046	5.0
OG1047	1953.0
OG1048	5.0
OG1049	401.0
OG1050	43.0
OG1051	2.0
OG1052	1.0
OG1053	58.0
OG1054	4208.0
OG1055	114.0
OG1056	491.0
OG1057	32.0
OG1058	0.0
OG1059	1258.0
OG1060	2042.0
OG1061	687.0
OG1062	314.0
OG1063	332.0
OG1064	36.0
OG1065	191.0
OG1066	21.0
OG1067	28.0
OG1068	0.0
OG1069	5.0
OG1070	37.0
OG1071	550.0
OG1072	44.0
OG1073	171.0
OG1074	625.0
OG1075	483.0
OG1076	1093.0
OG1077	2264.0
OG1078	178.0
OG1079	61.0
OG1080	1037.0
OG1081	76.0
OG1082	66.0
OG1083	27.0
OG1084	879.0
OG1085	8.0
OG1086	1.0
OG1087	824.0
OG1088	835.0
OG1089	52.0
OG1090	8.0
OG1091	7082.0
OG1092	1779.0
OG1093	1144.0
OG1094	193.0
OG1095	78.0
OG1096	1658.0
OG1097	10.0
OG1098	4993.0
OG1099	278.0
OG1100	834.0
OG1101	782.0
OG1102	1061.0
OG1103	8301.0
OG1104	67.0
OG1105	396.0
OG1106	881.0
OG1107	26.0
OG1108	534.0
OG1109	1615.0
OG1110	244.0
OG1111	1598.0
OG1112	14.0
OG1113	157.0
OG1114	6298.0
OG1115	179.0
OG1116	22.0
OG1117	728.0
OG1118	164.0
OG1119	3.0
OG1120	299.0
OG1121	237.0
OG1122	12617.0
OG1123	1190.0
OG1124	3379.0
OG1125	186.0
OG1126	399.0
OG1127	25.0
OG1128	1345.0
OG1129	31.0
OG1130	4860.0
OG1131	58.0
OG1132	549.0
OG1133	289.0
OG1134	0.0
OG1135	826.0
OG1136	644.0
OG1137	476.0
OG1138	448.0
OG1139	1171.0
OG1140	1862.0
OG1141	1268.0
OG1142	491.0
OG1143	1848.0
OG1144	535.0
OG1145	328.0
OG1146	58.0
OG1147	24901.0
OG1148	133.0
OG1149	1196.0
OG1150	353.0
OG1151	483.0
OG1152	94.0
OG1153	833.0
OG1154	100.0
OG1155	132.0
OG1156	1279.0
OG1157	651.0
OG1158	199.0
OG1159	293.0
OG1160	1992.0
OG1161	337.0
OG1162	2110.0
OG1163	1662.0
OG1164	59.0
OG1165	3841.0
OG1166	1142.0
OG1167	387.0
OG1168	503.0
OG1169	837.0
OG1170	1377.0
OG1171	263.0
OG1172	294.0
OG1173	962.0
OG1174	167.0
OG1175	1767.0
OG1176	44.0
OG1177	1186.0
OG1178	8160.0
OG1179	1041.0
OG1180	1515.0
OG1181	1251.0
OG1182	797.0
OG1183	12450.0
OG1184	7322.0
OG1185	7366.0
OG1186	418.0
OG1187	177.0
OG1188	342.0
OG1189	767.0
OG1190	385.0
OG1191	1560.0
OG1192	37.0
OG1193	4940.0
OG1194	3829.0
OG1195	45.0
OG1196	450.0
OG1197	139.0
OG1198	3618.0
OG1199	545.0
OG1200	163.0
OG1201	531.0
OG1202	3020.0
OG1203	209.0
OG1204	1486.0
OG1205	1327.0
OG1206	21310.0
OG1207	54.0
OG1208	814.0
OG1209	307.0
OG1210	2045.0
OG1211	1668.0
OG1212	589.0
OG1213	27.0
OG1214	993.0
OG1215	3154.0
OG1216	6468.0
OG1217	546.0
OG1218	129.0
OG1219	1257.0
OG1220	21.0
OG1221	1786.0
OG1222	2702.0
OG1223	573.0
OG1224	4154.0
OG1225	851.0
OG1226	1765.0
OG1227	1760.0
OG1228	222.0
OG1229	872.0
OG1230	436.0
OG1231	13120.0
OG1232	1068.0
OG1233	1169.0
OG1234	161.0
OG1235	3486.0
OG1236	656.0
OG1237	7013.0
OG1238	6206.0
OG1239	3.0
OG1240	8137.0
OG1241	110900.0
OG1242	71.0
OG1243	1080.0
OG1244	117.0
OG1245	4504.0
OG1246	22582.0
OG1247	3157.0
OG1248	803.0
OG1249	309.0
OG1250	916.0
OG1251	373.0
OG1252	6242.0
OG1253	5892.0
OG1254	367.0
OG1255	3071.0
OG1256	10342.0
OG1257	166.0
OG1258	2057.0
OG1259	223.0
OG1260	7764.0
OG1261	5104.0
OG1262	2006.0
OG1263	8150.0
OG1264	1984.0
OG1265	3241.0
OG1266	1180.0
OG1267	3797.0
OG1268	1544.0
OG1269	475.0
OG1270	2231.0
OG1271	2766.0
OG1272	1794.0
OG1273	490.0
OG1274	10857.0
OG1275	878.0
OG1276	225.0
OG1277	2422.0
OG1278	196.0
OG1279	1263.0
OG1280	250.0
OG1281	92.0
OG1282	7025.0
OG1283	1.0
OG1284	1249.0
OG1285	4.0
OG1286	41.0
OG1287	2577.0
OG1288	1042.0
OG1289	7317.0
OG1290	18940.0
OG1291	805.0
OG1292	422.0
OG1293	1715.0
OG1294	23.0
OG1295	324.0
OG1296	1542.0
OG1297	804.0
OG1298	30.0
OG1299	1526.0
OG1300	3877.0
OG1301	17.0
OG1302	61.0
OG1303	1834.0
OG1304	806.0
OG1305	1684.0
OG1306	2049.0
OG1307	1493.0
OG1308	433.0
OG1309	175.0
OG1310	1403.0
OG1311	1926.0
OG1312	305.0
OG1313	4284.0
OG1314	105.0
OG1315	528.0
OG1316	360.0
OG1317	196.0
OG1318	2428.0
OG1319	381.0
OG1320	5482.0
OG1321	785.0
OG1322	2418.0
OG1323	312.0
OG1324	654.0
OG1325	131.0
OG1326	207.0
OG1327	2776.0
OG1328	31.0
OG1329	718.0
OG1330	373.0
OG1331	3744.0
OG1332	771.0
OG1333	41172.0
OG1334	1375.0
OG1335	1709.0
OG1336	5866.0
OG1337	12688.0
OG1338	933.0
OG1339	1426.0
OG1340	89.0
OG1341	28738.0
OG1342	5823.0
OG1343	10249.0
OG1344	27512.0
OG1345	3790.0
OG1346	417.0
OG1347	1671.0
OG1348	7628.0
OG1349	21917.0
OG1350	2729.0
OG1351	153.0
OG1352	5011.0
OG1353	255.0
OG1354	639.0
OG1355	98.0
OG1356	4707.0
OG1357	55849.0
OG1358	2070.0
OG1359	1506.0
OG1360	5033.0
OG1361	138.0
OG1362	6586.0
OG1363	1440.0
OG1364	4746.0
OG1365	2018.0
OG1366	208.0
OG1367	69.0
OG1368	19.0
OG1369	1243.0
OG1370	8022.0
OG1371	16723.0
OG1372	6981.0
OG1373	5962.0
OG1374	32617.0
OG1375	6.0
OG1376	251.0
OG1377	12133.0
OG1378	8824.0
OG1379	3434.0
OG1380	1935.0
OG1381	0.0
OG1382	18.0
OG1383	539.0
OG1384	769.0
OG1385	5334.0
OG1386	40521.0
OG1387	2461.0
OG1388	1782.0
OG1389	1092.0
OG1390	9818.0
OG1391	83.0
OG1392	207.0
OG1393	1972.0
OG1394	5707.0
OG1395	9601.0
OG1396	778.0
OG1397	1483.0
OG1398	6389.0
OG1399	2253.0
OG1400	1149.0
OG1401	6486.0
OG1402	290.0
OG1403	3853.0
OG1404	8253.0
OG1405	24458.0
OG1406	8378.0
OG1407	12386.0
OG1408	9680.0
OG1409	6724.0
OG1410	896.0
OG1411	4352.0
OG1412	2222.0
OG1413	725.0
OG1414	5434.0
OG1415	468.0
OG1416	4423.0
OG1417	8927.0
OG1418	3583.0
OG1419	142.0
OG1420	8342.0
OG1421	2527.0
OG1422	133.0
OG1423	6809.0
OG1424	7859.0
OG1425	21025.0
OG1426	8860.0
OG1427	3100.0
OG1428	5536.0
OG1429	752.0
OG1430	1498.0
OG1431	2350.0
OG1432	908.0
OG1433	1607.0
OG1434	622.0
OG1435	521.0
OG1436	690.0
OG1437	5691.0
OG1438	26.0
OG1439	423.0
OG1440	2824.0
OG1441	26552.0
OG1442	7051.0
OG1443	36.0
OG1444	2403.0
OG1445	2208.0
OG1446	1221.0
OG1447	3627.0
OG1448	55.0
OG1449	343.0
OG1450	65.0
OG1451	3313.0
OG1452	1137.0
OG1453	782.0
OG1454	713.0
OG1455	1067.0
OG1456	416.0
OG1457	476.0
OG1458	4900.0
OG1459	487.0
OG1460	2658.0
OG1461	1058.0
OG1462	2644.0
OG1463	3532.0
OG1464	347.0
OG1465	13139.0
OG1466	6445.0
OG1467	959.0
OG1468	1030.0
OG1469	895.0
OG1470	17683.0
OG1471	1446.0
OG1472	132.0
OG1473	199.0
OG1474	407.0
OG1475	1691.0
OG1476	26909.0
OG1477	779.0
OG1478	826.0
OG1479	7771.0
OG1480	1067.0
OG1481	1122.0
OG1482	1574.0
OG1483	717.0
OG1484	2416.0
OG1485	1080.0
OG1486	6867.0
OG1487	3780.0
OG1488	5831.0
OG1489	8304.0
OG1490	11967.0
OG1491	733.0
OG1492	17654.0
OG1493	1148.0
OG1494	6036.0
OG1495	17.0
OG1496	89.0
OG1497	4617.0
OG1498	1665.0
OG1499	367.0
OG1500	3866.0
OG1501	30.0
OG1502	847.0
OG1503	16379.0
OG1504	1290.0
OG1505	2284.0
OG1506	1273.0
OG1507	87166.0
OG1508	2568.0
OG1509	4370.0
OG1510	91.0
OG1511	685.0
OG1512	68.0
OG1513	487.0
OG1514	683.0
OG1515	1130.0
OG1516	1363.0
OG1517	586.0
OG1518	5260.0
OG1519	1552.0
OG1520	2166.0
OG1521	5024.0
OG1522	2909.0
OG1523	5734.0
OG1524	3714.0
OG1525	1829.0
OG1526	435.0
OG1527	292.0
OG1528	4362.0
OG1529	2286.0
OG1530	4065.0
OG1531	1933.0
OG1532	7177.0
OG1533	1112.0
OG1534	2511.0
OG1535	270.0
OG1536	4397.0
OG1537	2542.0
OG1538	917.0
OG1539	2134.0
OG1540	7498.0
OG1541	724.0
OG1542	828.0
OG1543	595.0
OG1544	538.0
OG1545	2536.0
OG1546	1325.0
OG1547	148.0
OG1548	660.0
OG1549	448.0
OG1550	14644.0
OG1551	6764.0
OG1552	6363.0
OG1553	13.0
OG1554	1433.0
OG1555	17151.0
OG1556	262.0
OG1557	9331.0
OG1558	685.0
OG1559	524.0
OG1560	428.0
OG1561	2586.0
OG1562	2478.0
OG1563	21927.0
OG1564	1588.0
OG1565	1723.0
OG1566	588.0
OG1567	2661.0
OG1568	12578.0
OG1569	5605.0
OG1570	32.0
OG1571	21.0
OG1572	1333.0
OG1573	1492.0
OG1574	1815.0
OG1575	260.0
OG1576	1229.0
OG1577	443.0
OG1578	231.0
OG1579	224.0
OG1580	436.0
OG1581	8170.0
OG1582	2445.0
OG1583	5374.0
OG1584	63.0
OG1585	4985.0
OG1586	2955.0
OG1587	400.0
OG1588	1067.0
OG1589	88.0
OG1590	784.0
OG1591	2693.0
OG1592	7750.0
OG1593	2617.0
OG1594	263.0
OG1595	1275.0
OG1596	229.0
OG1597	2506.0
OG1598	607.0
OG1599	1245.0
OG1600	995.0
OG1601	85.0
OG1602	35759.0
OG1603	1284.0
OG1604	2541.0
OG1605	934.0
