OG	sample_6C
OG1134	1.0
OG1135	1152.0
OG1136	1121.0
OG1137	789.0
OG1138	645.0
OG1139	1606.0
OG1140	2465.0
OG1141	2313.0
OG1142	934.0
OG1143	2399.0
OG1144	849.0
OG1145	675.0
OG1146	72.0
OG1147	31554.0
OG1148	167.0
OG1149	1743.0
OG1150	603.0
OG1151	747.0
OG1152	159.0
OG1153	1588.0
OG1154	176.0
OG1155	139.0
OG1156	1659.0
OG1157	710.0
OG1158	305.0
OG1159	565.0
OG1160	2614.0
OG1161	447.0
OG1162	3127.0
OG1163	2112.0
OG1164	58.0
OG1165	5077.0
OG1166	1323.0
OG1167	405.0
OG1168	643.0
OG1169	1182.0
OG1170	2065.0
OG1171	603.0
OG1172	500.0
OG1173	1475.0
OG1174	198.0
OG1175	2211.0
OG1176	63.0
OG1177	1598.0
OG1178	10303.0
OG1179	1368.0
OG1180	2287.0
OG1181	1646.0
OG1182	1272.0
OG1183	15348.0
OG1184	10721.0
OG1185	8953.0
OG1186	546.0
OG1187	234.0
OG1188	481.0
OG1189	1492.0
OG1190	473.0
OG1191	2052.0
OG1192	23.0
OG1193	5472.0
OG1194	5733.0
OG1195	88.0
OG1196	503.0
OG1197	165.0
OG1198	5266.0
OG1199	877.0
OG1200	204.0
OG1201	845.0
OG1202	4016.0
OG1203	264.0
OG1204	2222.0
OG1205	1594.0
OG1206	27987.0
OG1207	59.0
OG1208	1229.0
OG1209	293.0
OG1210	2247.0
OG1211	2072.0
OG1212	605.0
OG1213	30.0
OG1214	1181.0
OG1215	4429.0
OG1216	8352.0
OG1217	747.0
OG1218	194.0
OG1219	1375.0
OG1220	17.0
OG1221	2588.0
OG1222	3654.0
OG1223	731.0
OG1224	5566.0
OG1225	1090.0
OG1226	2442.0
OG1227	2464.0
OG1228	350.0
OG1229	1420.0
OG1230	638.0
OG1231	18264.0
OG1232	1266.0
OG1233	1731.0
OG1234	197.0
OG1235	3707.0
OG1236	856.0
OG1237	6996.0
OG1238	8575.0
OG1239	4.0
OG1240	9898.0
OG1241	125874.0
OG1242	87.0
OG1243	1251.0
OG1244	159.0
OG1245	6020.0
OG1246	32115.0
OG1247	4028.0
OG1248	1321.0
OG1249	402.0
OG1250	1231.0
OG1251	488.0
OG1252	8485.0
OG1253	8004.0
OG1254	473.0
OG1255	5031.0
OG1256	15349.0
OG1257	215.0
OG1258	3195.0
OG1259	216.0
OG1260	9078.0
OG1261	7837.0
OG1262	2994.0
OG1263	12423.0
OG1264	2761.0
OG1265	3927.0
OG1266	1903.0
OG1267	4167.0
OG1268	2050.0
OG1269	776.0
OG1270	3716.0
OG1271	3845.0
OG1272	2751.0
OG1273	726.0
OG1274	16250.0
OG1275	1420.0
OG1276	318.0
OG1277	2869.0
OG1278	220.0
OG1279	1425.0
OG1280	380.0
OG1281	132.0
OG1282	9632.0
OG1283	7.0
OG1284	1710.0
OG1285	11.0
OG1286	54.0
OG1287	2961.0
OG1288	1012.0
OG1289	9112.0
OG1290	18871.0
OG1291	1090.0
OG1292	586.0
OG1293	2039.0
OG1294	25.0
OG1295	480.0
OG1296	2455.0
OG1297	1205.0
OG1298	52.0
OG1299	2432.0
OG1300	5078.0
OG1301	56.0
OG1302	80.0
OG1303	2883.0
OG1304	1082.0
OG1305	2858.0
OG1306	4454.0
OG1307	3177.0
OG1308	657.0
OG1309	299.0
OG1310	2591.0
OG1311	3484.0
OG1312	497.0
OG1313	5567.0
OG1314	163.0
OG1315	767.0
OG1316	476.0
OG1317	357.0
OG1318	2567.0
OG1319	504.0
OG1320	8205.0
OG1321	1211.0
OG1322	3222.0
OG1323	505.0
OG1324	642.0
OG1325	170.0
OG1326	260.0
OG1327	4547.0
OG1328	51.0
OG1329	957.0
OG1330	642.0
OG1331	4820.0
OG1332	1196.0
OG1333	46323.0
OG1334	2357.0
OG1335	2271.0
OG1336	8074.0
OG1337	15837.0
OG1338	1183.0
OG1339	2146.0
OG1340	144.0
OG1341	32404.0
OG1342	8856.0
OG1343	15974.0
OG1344	33537.0
OG1345	4503.0
OG1346	484.0
OG1347	2321.0
OG1348	11549.0
OG1349	25483.0
OG1350	4069.0
OG1351	158.0
OG1352	8690.0
OG1353	405.0
OG1354	1003.0
OG1355	141.0
OG1356	7013.0
OG1357	73147.0
OG1358	2858.0
OG1359	2079.0
OG1360	7445.0
OG1361	187.0
OG1362	8461.0
OG1363	1940.0
OG1364	6724.0
OG1365	3217.0
OG1366	391.0
OG1367	103.0
OG1368	44.0
OG1369	1564.0
OG1370	13545.0
OG1371	27324.0
OG1372	9205.0
OG1373	8961.0
OG1374	51599.0
OG1375	38.0
OG1376	310.0
OG1377	19999.0
OG1378	12647.0
OG1379	4961.0
OG1380	2261.0
OG1381	1.0
