Id,log2FoldChange.minusSICOvsAll
OG1798,0.10099999999999999
OG1799,-0.263
OG18,-0.071
OG180,0.0
OG1800,-0.266
OG1801,-0.142
OG1802,0.243
OG1803,1.297
OG1804,0.507
OG1805,-1.5
OG1806,-0.165
OG1807,0.159
OG1808,-2.925
OG1809,0.39799999999999996
OG181,0.067
OG1810,-0.885
OG1811,0.816
OG1812,-0.359
OG1813,-1.127
OG1814,-2.6710000000000003
OG1815,-5.409
OG1816,-0.435
OG1817,0.24
OG1818,0.256
OG1819,0.039
OG182,0.359
OG1820,-0.647
OG1821,-2.813
OG1822,-0.7120000000000001
OG1823,-8.286
OG1824,-4.005
OG1825,0.846
OG1826,0.353
OG1827,-3.043
OG1828,-0.535
OG1829,-0.506
OG183,-1.608
OG1830,1.325
OG1831,-7.586
OG1832,-3.279
OG1833,-3.6039999999999996
OG1834,-3.46
OG1835,-3.5060000000000002
OG1836,-4.005
OG1837,-5.745
OG1838,-0.231
OG1839,-2.714
OG184,-0.262
OG1840,-1.127
OG1841,0.34700000000000003
OG1842,-0.156
OG1843,-0.628
OG1844,-0.374
OG1845,0.0
OG1846,-0.26899999999999996
OG1847,-0.28300000000000003
OG1848,-0.564
OG1849,1.145
OG185,-1.12
OG1850,-1.33
OG1851,-6.156000000000001
OG1852,0.382
OG1853,-0.249
OG1854,-2.784
OG1855,-4.359
OG1856,0.182
OG1857,0.0
OG1858,0.294
OG1859,0.132
OG186,-0.28600000000000003
OG1860,0.525
OG1861,0.20800000000000002
OG1862,-6.321000000000001
OG1863,-5.126
OG1864,-5.992999999999999
OG1865,-3.693
OG1866,-2.2840000000000003
OG1867,1.179
OG1868,-0.713
OG1869,0.0
OG187,-0.139
OG1870,0.0
OG1871,-2.016
OG1872,-6.104
OG1873,0.0
OG1874,-0.6409999999999999
OG1875,-0.071
OG1876,3.443
OG1877,-1.209
OG1878,-2.68
OG1879,0.021
OG188,0.6890000000000001
OG1880,0.08900000000000001
OG1881,-0.396
OG1882,
OG1883,0.0
OG1884,-0.20600000000000002
OG1885,0.475
OG1886,0.16
OG1887,-0.05
OG1888,0.0
OG1889,-0.607
OG189,-0.997
OG1890,-2.513
OG1891,-0.563
OG1892,0.435
OG1893,-0.732
OG1894,-2.929
OG1895,0.384
OG1896,-5.005
OG1897,-4.711
OG1898,-4.515
OG1899,-5.277
OG19,-1.062
OG190,-1.493
OG1900,-2.293
OG1901,-0.10400000000000001
OG1902,-2.825
OG1903,-1.256
OG1904,-0.581
OG1905,0.217
