Id,log2FoldChange.minusSTvsAll
OG1935,-0.759
OG1936,0.15
OG1937,-0.495
OG1938,-0.835
OG1939,-0.581
OG194,-1.2329999999999999
OG1940,-0.785
OG1941,-0.675
OG1942,
OG1943,0.0
OG1944,
OG1945,-1.43
OG1946,-3.935
OG1947,
OG1948,
OG1949,
OG195,-0.304
OG1950,
OG1951,
OG1952,0.0
OG1953,
OG1954,-1.0170000000000001
OG1955,-0.5770000000000001
OG1956,-2.025
OG1957,-0.45799999999999996
OG1958,-3.213
OG1959,0.494
OG196,0.9209999999999999
OG1960,-0.46299999999999997
OG1961,0.237
OG1962,-0.603
OG1963,-1.43
OG1964,-0.16399999999999998
OG1965,
OG1966,-0.237
OG1967,0.0
OG1968,0.0
OG1969,-1.43
OG197,-1.124
OG1970,0.141
OG1971,-0.527
OG1972,-0.021
OG1973,-0.7
OG1974,-0.142
OG1975,0.0
OG1976,0.04
OG1977,0.0
OG1978,-0.95
OG1979,0.887
OG198,
OG1980,-1.371
OG1981,-0.586
OG1982,-0.349
OG1983,-0.9279999999999999
OG1984,-0.35
OG1985,-0.43799999999999994
OG1986,-0.5
OG1987,
OG1988,0.665
OG1989,-2.864
OG199,-1.004
OG1990,0.064
OG1991,-1.4340000000000002
OG1992,
OG1993,
OG1994,-0.41
OG1995,0.0
OG1996,
OG1997,
OG1998,-0.397
OG1999,-1.39
OG2,-1.025
OG20,0.494
OG200,-0.332
OG2000,-0.763
OG2001,-1.8419999999999999
OG2002,-0.863
OG2003,0.494
OG2004,0.0
OG2005,0.0
OG2006,0.0
OG2007,
OG2008,-0.909
OG2009,-1.24
OG201,-2.094
OG2010,-1.416
OG2011,
OG2012,-1.2
OG2013,0.332
OG2014,-0.617
OG2015,-1.192
OG2016,0.0
OG2017,0.5539999999999999
OG2018,0.8859999999999999
OG2019,
OG202,1.881
OG2020,0.42700000000000005
OG2021,0.166
OG2022,0.262
OG2023,0.212
OG2024,0.187
OG2025,-3.6310000000000002
OG2026,-1.43
OG2027,-1.43
OG2028,-0.5710000000000001
OG2029,-0.32299999999999995
OG203,0.45899999999999996
OG2030,-0.48
OG2031,-1.034
OG2032,-1.453
OG2033,-1.253
OG2034,0.256
OG2035,-0.61
OG2036,-1.3459999999999999
OG2037,0.846
OG2038,0.56
OG2039,0.6940000000000001
OG204,0.07400000000000001
OG2040,-0.157
OG2041,-0.6809999999999999
OG2042,-0.996
OG2043,0.183
OG2044,0.544
OG2045,-1.973
OG2046,-3.1439999999999997
OG2047,-3.622
OG2048,0.366
OG2049,
OG205,0.292
OG2050,0.044000000000000004
OG2051,-0.887
OG2052,-0.109
OG2053,0.12300000000000001
OG2054,-0.46399999999999997
OG2055,-1.515
OG2056,0.11900000000000001
OG2057,-0.196
OG2058,-0.8140000000000001
OG2059,-0.40399999999999997
OG206,0.10800000000000001
OG2060,0.163
OG2061,0.49200000000000005
OG2062,-0.523
OG2063,0.8959999999999999
OG2064,0.006999999999999999
OG2065,0.185
OG2066,0.5670000000000001
OG2067,-0.278
OG2068,0.94
OG2069,0.5379999999999999
OG207,-0.7140000000000001
OG2070,0.319
OG2071,0.22699999999999998
OG2072,-3.806
OG2073,0.295
OG2074,-2.7319999999999998
OG2075,-0.93
OG2076,-0.619
OG2077,-0.46799999999999997
OG2078,-0.214
OG2079,-0.583
OG208,0.061
OG2080,-1.466
OG2081,
OG2082,1.307
OG2083,-0.8240000000000001
OG2084,0.069
OG2085,0.654
OG2086,-0.919
OG2087,-0.182
OG2088,-0.524
OG2089,-2.62
OG209,-0.162
OG2090,-0.295
OG2091,0.44799999999999995
OG2092,-0.147
OG2093,-0.221
OG2094,-1.094
OG2095,0.315
OG2096,0.499
OG2097,-0.35
OG2098,-0.35700000000000004
OG2099,-0.327
OG21,-0.899
OG210,0.113
OG2100,-0.209
OG2101,0.102
OG2102,-0.848
OG2103,-0.34700000000000003
OG2104,-0.509
OG2105,-0.589
OG2106,0.8540000000000001
OG2107,-0.47600000000000003
OG2108,0.363
OG2109,-0.47700000000000004
OG211,-1.253
OG2110,0.087
OG2111,-1.4269999999999998
OG2112,-0.36200000000000004
OG2113,-0.079
OG2114,-1.7469999999999999
OG2115,-0.698
OG2116,-3.282
OG2117,-0.37200000000000005
OG2118,-1.369
OG2119,-1.0490000000000002
OG212,-0.354
OG2120,-0.6890000000000001
OG2121,-1.507
OG2122,-0.9840000000000001
OG2123,-0.298
OG2124,-0.9209999999999999
OG2125,-0.935
OG2126,-0.924
OG2127,-1.43
OG2128,
OG2129,-0.46799999999999997
OG213,0.106
OG2130,
OG2131,0.33899999999999997
OG2132,0.21
OG2133,
OG2134,
OG2135,
OG2136,
OG2137,
OG2138,
OG2139,
OG214,2.484
OG2140,
OG2141,
OG2142,
OG2143,
OG2144,
OG2145,
OG2146,
OG2147,
OG2148,
OG2149,-0.46799999999999997
OG215,-0.013000000000000001
OG2150,-0.9309999999999999
OG2151,-0.875
OG2152,0.0
OG2153,0.022000000000000002
OG2154,0.494
OG2155,-1.306
OG2156,0.135
OG2157,0.28300000000000003
OG2158,-0.903
OG2159,0.826
OG216,-3.1
OG2160,0.29100000000000004
OG2161,-0.584
OG2162,-0.861
OG2163,0.032
OG2164,-0.955
OG2165,-2.762
OG2166,-1.005
OG2167,
OG2168,-0.932
OG2169,-2.283
OG217,-1.305
OG2170,-0.88
OG2171,-0.83
OG2172,-0.632
OG2173,-0.324
OG2174,-0.684
OG2175,-0.071
